	claim	evidence	label
943	Süleyman Soylu’nun 2019’da koordine ettiği deprem tatbikatının yapıldığı otelin yıkıldığı iddiası	AFAD, 9 Ekim 2019’da Kahramanmaraş’ta “Türkiye Afet Müdahale Planı” dahilinde yaptığı tatbikatta merkez üssünü Kahramanmaraş Pazarcık, depremin büyüklüğünü de 7,5 olarak belirlemişti.İçişleri Bakanı Süleyman Soylu tatbikatı Ankara’daki AFAD Genel Merkezi’nde yönetmişti.Tatbikatta temsili olarak yıkılan binalardan biri Saffron Otel seçilmiş.Saffron Otel 6 Şubat 2023’te yaşanan depremde yıkıldı.	doğru
512	Macaristan Parlamentosu 'Türkler ile kardeşiz' ibaresini anayasalarına eklemedi	Macaristan anayasasının üçüncü maddesinde “Türkler ile kardeşiz” ibaresi yer almıyorÖte yandan Macaristan Cumhurbaşkanının adı James Ader değil, Janos Ader.	yanlış
825	Türk hackerların NASA’nın internet sitesini ele geçirdiği iddiası	"NASA’nın web adresi ""https://vho.nasa.gov/vxo/metadata.php?d&id="" şeklinde yazılıp, linkin sonuna yapılan eklemelerle “imza atmak” veya mesaj bırakmak mümkün.“https://vho.nasa.gov/vxo/metadata.php?d&id=” şeklindeki adres ise şu anda çalışmıyor.İddianın ortaya çıktığı 11 Ekim tarihinde NASA’nın internet sitesine bakıldığında böyle bir durumun olmadığı da açıkça görülüyor."	yanlış
591	Otizmli bir çocuğun 56 bin parçalık Titanik maketi yaptığı iddiası	56 bin parçalık Titanik'i yapan çocuk, İzlandalı Brynjar Karl Bigisson.Brynjar bugün 19 yaşında. Kişisel sosyal medya hesabından benzer paylaşımlar yapıyor.	doğru
126	Japonya ve Türkiye kıyaslamasının salgının sahte olduğunu kanıtladığı iddiası	Japonya’da nüfusa oranla düşük olsa da aşı yapılıyor.Ülkede maske kullanımı zorunlu değil fakat insanlar Covid-19 salgınından çok önceden beri nezle gibi hastalıklarda dahi maske kullanımına alışkın olduklarından çoğu kişi maske takıyor.Japonya’da tam kapanma yok, fakat kısıtlama var.Hangi önlemlerin alındığına bakılarak ülkedeki vaka sayılarını karşılaştırmak sağlıklı değil.	yanlış
116	WhatsApp'ta üç mavi tikin mesajların hükümetlerce okunduğu anlamına geldiği iddiası	WhatsApp’ta üç tik özelliği yok.İletilen mesajlara üçüncü kişilerce erişilemiyor.	yanlış
473	Bir Twitter hesabı tarafından 9 Nisan 2022 tarihinde yapılan bir paylaşımda, CNN’in Elon Musk ile ilgili yaptığı bir haberde Elon Musk’ın Twitter’da ifade özgürlüğünü tehlikeye atabileceği iddia edildi.	Bir Twitter hesabı tarafından yapılan bir paylaşımda, CNN’in Elon Musk ile ilgili yaptığı bir haberde Elon Musk’ın Twitter’da ifade özgürlüğünü tehlikeye atabileceği iddia edilmişti. ‘Haber’ parodi içerikler üreten bir haber sitesinde yayımlanmış ve daha sonra CNN’in gerçekten böyle bir haber yaptığı iddiasıyla başka platformlarda paylaşılmış. Fakat, CNN’e ait hiçbir platformda bu ‘habere’ rastlanmıyor ve bir CNN yetkilisi de Reuters’e böyle bir haber olmadığını belirtmiş.	yanlış
693	Bir Twitter sayfası tarafından 28 Ağustos 2021 tarihinde yapılan paylaşımda doğum kusurlarına sebep olan Thalidomide isimli ilacın geçmişte FDA onayı aldığı iddia edildi.	Bir Twitter sayfası tarafından yapılan paylaşımda doğum kusurlarına sebep olan Thalidomide isimli ilacın geçmişte FDA onayı aldığı iddia edilmişti. Thalidomide, dünya çapında hamilelik sırasında mide bulantısını tedavi etmek için bir ilaç olarak reçete edilmişti. Binlerce çocuğun ciddi fiziksel engellerle doğmasıyla doğrudan bağlantılıydı. FDA, 1960'ların başında Thalidomide için bir başvuruyu gözden geçirdi ancak ilacın etkinliğine ilişkin kanıtlar ve yan etki raporları hakkındaki endişeler nedeniyle onay vermedi. İlacın ABD distribütörünün başvuruları, ilacın güvenilirliğine yönelik kanıtların eksikliği üzerine dört kez reddedildi ve firma beşinci başvuruda onay isteğini geri çekti. İlacın FDA onayı almamasını sağlayan en önemli aktörlerden farmakolog Frances Oldham Kelsey, kamu sağlığını koruma amacıyla verdiği uğraştan dolayı 1962’de Kennedy yönetiminden Seçkin Federal Sivil Hizmet Ödülü aldı. Dava, FDA’in ilaç incelemelerinde uyguladığı düzenlemeleri sıkılaştırılmasına yol açtı. İlaç 1998’de, 1950’lerdeki kullanımından başka bir amaçla, üzerinde kapsamlı uyarılar taşıması zorunluluğu ile FDA onayı aldı. Bu onay, ilacın miyelom veya cüzzam teşhisi yeni konan kişilerin tedavilerinde kullanılması amacıyla sıkı kısıtlamalar altında gerçekleşti.	yanlış
57	Zulu Kabilesi’nin aşı karşıtı protestoya katıldığı iddiası	"Paylaşılan videoda, Zulu Kabilesinin kalabalık olarak aşılamayı protesto ettiği iddiası doğru değil.
Video, her yıl 24 Eylül’de, Güney Afrika’lıların, inanç, gelenek, kültür gibi ortak mirasını anmak için toplandıkları “Miras Günü” etkinliğinde kaydedilmiş. Videodaki kalabalık Zulu halkıdır ve her yıl bu kutlamaları yapmaktadırlar."	yanlış
863	Dünyanın en büyük kayagazı rezervinin Güneydoğu Anadolu’da olduğu iddiası	Prof. Kumbaroğlu dünyanın en büyük rezervlerinin Türkiye’de olduğunu söylememiş.Çin’in tahmini kaya gazı rezervi 31,5 trilyon metreküp iken, Türkiye’ninki ise 668 milyar metreküp.Türkiye’deki kayagazı rezervi havzaları Güneydoğu Anadolu ve Trakya’da yer alıyor.	yanlış
912	Astronot Buzz Aldrin'in Ay’a aslında hiç gitmediklerini itiraf ettiği iddiası	Buzz Aldrin’in Ay’a aslında hiç gitmediklerini söylemedi.Aldrin, “uzun süredir niçin Ay’a tekrar gidilmediği” sorusu üzerine NASA’nın başka projelere yöneldiğini ve Ay ile ilgili projelerde paranın önemli bir faktör olduğunu söylüyor.	yanlış
369	Bazı Akdeniz ülkelerindeki yangın söndürme uçağı sayıları hakkındaki iddia	Türkiye’nin üç adet yangın söndürme uçağına sahip olduğu iddiası doğru.Türkiye’nin mevcut yangın söndürme uçağı sayısı, İtalya, Yunanistan ve İspanya'dan daha az.	doğru
268	DSÖ Başkanı Tedros Adhanom Ghebreyesus’un silahlı örgüt yöneticisi olduğu iddiası	İddiadaki görsel 1966 tarihli Mao Zedong zamanından bir askerin posterinin manipüle edilmiş hali.İddiayı paylaşan sitenin kurucusu Thierry Meyssan adlı Fransız bir gazeteci. 11 Eylül’ün komplo olduğunu da savunuyor.Etiyopya Ordu Komutanı Berhanu, Tedros Adhanom’un TPLF’yi desteklediğini ve silahlandırdığını iddia etti, ama herhangi bir kanıt sunmadı.Etiyopya’nın Tigray yöresinden olan Tedros Adhanom, daha önce TPLF liderliğindeki legal bir koalisyon hükümetinde sağlık ve dışişleri bakanı olarak görev yapmıştı.	yanlış
46	Yerli tütün kullanımının 14 yıl içinde yüzde 42'den yüzde 12'ye gerilediği iddiası	Yerli tütün kullanımının 2003’ten 2017’ye kadarki süreçte yüzde 42’den yüzde 12’ye düştüğü ve yerli üreticiyi koruyan tütün fonunun kaldırıldığı iddiaları doğru.TAPDK’nın sağladığı birincil kaynaklar ve çeşitli ikincil kaynaklar da bu iddiaların gerçeği yansıttığını gösteriyor.	doğru
349	Bir Instagram hesabı tarafından 13 Haziran 2023 tarihinde yapılan paylaşımda Aydın Çıldır, Balıkesir Merkez, Çanakkale Gökçeada ve Uşak havalimanlarında 2023 yılında yolcu trafiği gerçekleşmediği iddia edildi.	Bir Instagram hesabı tarafından Aydın Çıldır, Balıkesir Merkez, Çanakkale Gökçeada ve Uşak havalimanlarında 2023 yılında yolcu trafiği olmadığı iddia edilmişti. Aydın Çıldır Havalimanı 2013 yılından bu yana eğitim amaçlı kullanılmakta ve herhangi bir yolcu trafiği yok. Balıkesir Merkez, Çanakkale Gökçeada ve Zafer havalimanlarında da 2023’ün ilk beş ayında herhangi bir yolcu trafiği bulunmadığı DHMİ’nin istatistiklerinden görülüyor.	doğru
195	Bir Twitter hesabı tarafından 15 Aralık 2019 tarihinde yapılan paylaşımda Dr. Derya Akkaynak’ın “Blavatnik Genç Bilim İnsanı” ödülüne Türkiye’den layık görülen ilk kadın olduğu iddia edildi.	Bir Twitter hesabı tarafından yapılan paylaşımda Derya Akkaynak’ın “Blavatnik Genç Bilim İnsanı” ödülüne Türkiye’den layık görülen ilk kadın olduğu iddia edilmişti. Mühendis ve Oşinograf Derya Akkaynak, söz konusu ödülde 2019 yılında “Sea-thru” adlı su altında net görüntüler elde etmeyi mümkün kılan algoritması ile finalist oldu. Ancak Akkaynak, Türkiye’den söz konusu ödüle layık görülen ilk bilim insanı olduğu iddiasını kendisi de yanlışlamış. Ödülde finalist olan diğer kişilere örnek olarak 2014 Blavatnik Bölgesel Genç Bilim İnsanları Ödülleri finalistlerinden nörobilimci Dilek Çolak ve 2014-2015 Blavatnik Ulusal Ödülü finalisti Dr. Aydoğan Özcan verilebilir.	yanlış
999	Bir Twitter hesabı tarafından 1 Nisan 2022 tarihinde yapılan bir paylaşımda, Ukrayna’nın geliştirdiği bir uygulama ile Büyük Sıfırlama’yı uygulamaya koyduğu iddia edildi. 	Bir Twitter hesabı tarafından 1 Nisan 2022 tarihinde yapılan bir paylaşımda, Ukrayna’nın geliştirdiği bir uygulama ile Büyük Sıfırlama’yı uygulamaya koyduğu iddia edilmişti. Diia uygulaması Ukrayna vatandaşlarının kimlik, sürücü ehliyeti ve pasaport gibi resmi belgelerini dijitalleştirmeyi amaçlıyor fakat bunun Dünya Ekonomik Forumu’nun Büyük Sıfırlama gündemi ile bir ilişkisi yok.	yanlış
834	ASELSAN’ın Katar’a satıldığı iddiası	Kaynak haberlerde ASELSAN'ın satıldığı yazmıyor, ama haberler böyle bir algı oluşmasına sebep oldu.ASELSAN faaliyet gösterdiği ülkelerde marka ve isim haklarını korumak, faaliyetleri koordine etmek amacıyla ASELSAN Qatar gibi markalar kuruyor. Aynı amaçla kurulan ASELSAN Ukraine, ASELSAN Pakistan, ASELSAN Bakü gibi markalar da var.Kamuoyunu Aydınlatma Platformu'nda ASELSAN'ın satıldığına dair bir duyuru yok.ASELSAN iddiaları yalanladı.	yanlış
736	TRT Haber ekranında '19 Mayıs Cumhuriyet Bayramı Kutlu Olsun' yazdığı iddiası	TRT Haber ekranlarında 19 Mayıs 2020 yayınında ekranda 19 Mayıs Cumhuriyet Bayramı Kutlu Olsun yazıldı.Birkaç yayında ekrana taşınan görüntü sonrası TRT Haber bir özür metni yayınladı.	doğru
263	Papa Francis’in sığınmacılar konusunda Ümit Özdağ'a tepki gösterdiği iddiası	Vatikan’ın resmi internet sitesinde Papa Francis’in mayıs ayı içinde yaptığı dört halka sesleniş konuşmasında iddia edilen cümleler yer almıyor.Konuyla ilgili İtalyanca ve İngilizce aramalarda herhangi bir sonuç bulunmuyor.Papa Francis’in son dönemde sığınmacılarla ilgili açıklamalarını taradığımızda, iddiaya konu olan açıklamalara ulaşamıyoruz.	yanlış
443	PTT'nin kimlik kartıyla başvuranlara bin 500 TL pandemi yardımı dağıtacağı iddiası	PTT pandemi nedeniyle kimliğiyle başvuran herkese nakdi destek vermiyor.PTT iki tür kredi sağlıyor. Bunlara şartları sağlayanlar kimlik kartlarıyla gişelerden başvurabiliyorlar.	yanlış
675	Darıca Hayvanat Bahçesi müdürünün dişi ve erkek hayvanların ayrılmasını önerdiği iddiası	İddianın kökeni 2008 tarihli bir içeriğe kadar gidiyor ve herhangi bir dayanağı yok.2012 yılında Zaytung'dan alındığı söylenerek yeniden yayılmış ancak Zaytung böyle bir içerik yayınlamamış.Darıca'da böyle bir genel müdür hiç görev almadı ve böyle bir öneride de bulunulmadı.Hayvanat bahçesinde hayvanların üremesi için belli kriterler gözetiliyor.	yanlış
304	Asgari ücret zammı son 50 yılın en yükseği değil	2022 yılı için tespit edilen asgari ücret tutarının son 50 yılın en yüksek oranı olduğu iddiası doğru değil.Geçmişte belirlenen oranlara baktığımızda yüzde 50’den daha fazla artışların olduğu görülüyor.	yanlış
341	Çift doz aşı olmadan yurtdışından Samsun'a girilemediği iddiası	İlgili Hıfzıssıhha kararına göre, riskli yedi ülkeden Türkiye’ye gelenler, çift aşılı değilse PCR negatif testi ibrazı veya karantina sonrası kente girebiliyor.Samsun Valiliği de iddiayı yalanladı.	yanlış
966	NATO ülkelerinin yaptığı tatbikatta deprem sonrası Türkiye’yi işgale hazırlandıkları iddiası	Tatbikat 2002 yılında NATO ülkeleri tarafından değil, ABD tarafından düzenleniyor.Raporda Türkiye veya NATO’ya dair herhangi bir ifadeye rastlanmıyor.Millennium Challenge 2002 yılında ABD tarafından yapılan büyük bir savaş oyunu tatbikatıydı.	yanlış
149	Fransızların dünyanın en uzun uyku süresi ortalamasına sahip olduğu iddiası	2018 yılı Sleep Cycle sonuçlarına göre, yedi buçuk saati aşan ortalamasıyla en çok uyuyan ülke Yeni Zelanda.2016 yılında Science Advances’ta yayınlanmış bir başka çalışmada, en çok uyuyan ilk üç ülke Hollanda, Yeni Zelanda ve Fransa. Bu ülkeler arasında yalnızca birer dakikalık farklar var.Japonya ve Singapur gibi ülkelerde insanlar daha az uyuyor.	yanlış
124	Bir Facebook hesabının paylaştığı gönderide bulunan belgenin Ekrem İmamoğlu’nun masonluk diplomasını gösterdiği iddia edildi.	Bir Facebook hesabının paylaştığı gönderide yer alan belgenin Ekrem İmamoğlu’nun mason locası diploması olduğu iddia edilmişti. Yapılan araştırmada belgenin görsel manipülasyon teknikleriyle değiştirildiği anlaşılıyor. 1995’e ait olduğu iddia edilen belgede kullanılan İmamoğlu fotoğrafı 2013’te çekilmiş. Belgenin orijinali, 2019’da bizzat belgenin sahibi olan Hürol Taşdelen tarafından kişisel blog sitesinde paylaşılmış. İddiaların ayyuka çıkması üzerine Taşdelen iddiaları yalanlamış ve belgenin orijinalini tekrar yayımlamış.	yanlış
786	Bir Instagram hesabı tarafından 20 Ekim 2022 tarihinde yapılan paylaşımda Diyanet İşleri Başkanlığı'nın 2023 için öngörülen bütçesinin 35 milyar 910 milyon 653 bin TL olduğu iddia edildi. 	Bir Instagram hesabı tarafından yapılan paylaşımda Diyanet İşleri Başkanlığı'nın 2023 için öngörülen bütçesinin 35 milyar 910 milyon 653 bin TL olduğu iddia edilmişti. 17 Ekim tarihinde açıklanan Plan ve Bütçe Komisyonunda 2023 Yılı Merkezi Yönetim Bütçe Kanun Teklifi'ninde yer alan cetvele göre  iddia edildiği gibi Diyanet İşleri Başkanlığı’nın 2023 bütçesi %117 artışla 35 milyar 910 milyon 653 bin TL olarak belirlendi. 2023 yılı için öngörülen bu bütçe, altı bakanlığın bütçesini geride bırakmış oldu.	doğru
50	Bir Facebook hesabı tarafından 29 Haziran 2022 tarihinde yapılan paylaşımda Arda Turan “Biz Bu Alemin En Güzel Kızını Bir Akşam Güneşinde İki Bira ile Tarihe Gömdük” dediği iddia edildi. 	Bir Facebook hesabı tarafından 29 Haziran 2022 tarihinde yapılan paylaşımda Arda Turan “Biz Bu Alemin En Güzel Kızını Bir Akşam Güneşinde İki Bira ile Tarihe Gömdük” dediği iddia edilmişti. Arda Turan’ın söz konusu ifadeyi kullandığına dair herhangi bir kanıt bulunmuyor. Aynı söz daha önce başka kişilere de atfedilmiş.	yanlış
353	Bir Twitter sayfası tarafından 17 Temmuz 2020 tarihinde yapılan paylaşımda Brezilya’da 5 bin kişinin enfekte olduğu hastanenin milletvekili tarafından ziyaret edilmesinin ardından boş olduğunun ortaya çıktığı iddia edildi.	Bir Twitter sayfası tarafından yapılan paylaşımda Brezilya’da 5 bin kişinin enfekte olduğu hastanenin, milletvekili tarafından ziyaret edilmesinin ardından boş olduğunun ortaya çıktığı iddia edilmişti. İddiaları global anlamda yayılmış olan bir videodan kaynaklanıyordu. Ancak bu video, “bomboş olduğu ortaya çıkan bir hastaneyi” değil, Brezilya’nın Rio de Janeiro bölgesini temsil eden Filippe Poubel’in inceleme yaptığı bir hastaneyi gösteriyor. Video, Poubel’in artan koronavirüs vakaları ile mücadele amacıyla kurulan ve açılmış olması gereken ”Hospital De Campanha São Gonçalo” isimli yeni bir COVID-19 hastanesinin açılışındaki gecikmeden duyduğu memnuniyetsizliği ifade ettiğini gösteriyor.	yanlış
927	NASA'nın 2016 JG12 isimli göktaşının 2024'te dünyaya çarpacağını söylediği iddiası	Göktaşı 2024 yılında dünyaya en yakın konumundan geçecek ama çarpması beklenmiyor.Meteor risk listesinde de değil.	yanlış
142	Turgay Yıldız'ın aşıya bağlı pıhtı nedeniyle yaşamını yitirdiği iddiası	Türkiye’de uygulanmakta olan aşıların olası yan etkileri arasında pıhtı sorunu yer almıyor.Turgay Yıldız’ın yakınları ile Sağlık Bakanı, sanatçının vefatına süregiden kalp rahatsızlığının neden olduğunu açıkladı.Yıldız'ın ailesi de sanatçının kalp krizi nedeniyle yaşamını yitirdiğini belirtti.	yanlış
470	Galatasaray’ın Milenyum Kupası’na sahip olduğu iddiası	Görselde yer alan kupa TSYD Kupası.İddia 100 Yıllık Sevda adlı belgeselde Galatasaray eski yöneticilerinden Mehmet Cansun’un açıklamalarına dayanıyor.Galatasaray’ın resmi internet sitesinde yer alan kupalar kısmında “Milenyum Kupası” adlı bir kupa yer almıyor.Galatasaray müze yetkilisi, Galatasaray’ın “Milenyum Kupası” adlı bir kupa kazanmadığını belirterek, kastedilenin UEFA Süper Kupası olduğunu ifade etti.	yanlış
399	Türkiye doğum oranında 27 AB ülkesini geçti iddiası	TÜİK verilerine göre de Türkiye’nin doğum oranının Avrupa Birliği üyesi 27 ülkenin doğum oranından daha yüksek olduğu görüldü. Bu verilere dayanarak iddia edilen haber doğru.	doğru
625	Yeni YÖK yönetmeliğine göre tüm tezsiz yüksek lisans mezunları öğretim görevlisi olabilecek iddiası	Söz konusu değişiklik sadece “meslek yüksekokullarının kadrolarına” atanmak isteyenler arasında 14 Mart 2016’dan önce tezsiz yüksek lisansa başlamış.Durum Kasım 2018’den önce de bu programlardan mezun olmuş kişiler için geçerli.	yanlış
320	New York’ta 9 Mart 2020’de 37 kişinin Covid-19 nedeniyle öldüğü iddiası	10 Mart 2020'da yayınlanan resmi verilere göre, New York’ta bir gün içinde 37 kişi Covid-19 nedeniyle yaşamını yitirmedi.New York Valisi sadece 37 yeni vaka tespit edildiğini açıklamıştı.37 kişinin yaşamını yitirdiği iddiasının yayılmasının sebebi haber sitelerinin yaptığı bir çeviri hatası.	yanlış
19	Covid-19 mRNA aşısı olanların kan sulandırıcı kullanması gerektiği iddiası	Aşı sonrası kan sulandırıcı kullanmaya gerek yok.Gerekmediği halde kan sulandırıcı kullanmak sakıncalı.	yanlış
809	Küba’daki sosyal ve siyasal hayata dair iddialar	Küba’da milletvekilleri ve garsonların aynı ücretleri almıyor.Ülkede tecavüz, adam öldürme ve cinsel istismar gibi suçların işlendiği, kanserin ülkedeki en büyük ölüm sebeplerinden birisi olduğu ve ulaşımın ücret mukabilinde gerçekleştiği söylenebilir.	yanlış
790	Bir Twitter hesabı tarafından 9 Eylül 2022 tarihinde yapılan bir paylaşımda, ABD Başkanı Joe Biden’ın 4 yıl önce öldüğü ve yerine ikizinin geçtiği iddia edildi.	Bir Twitter hesabı tarafından yapılan bir paylaşımda, Joe Biden’ın 4 yıl önce öldüğü ve yerine ikizinin geçtiği iddia edilmişti. Videonun paylaşıldığı hesap bir hiciv hesabı ve daha sonraları kendisi de videonun hiciv olduğunu açıkça belirtmiş. Dahası Joe Biden’ın öldüğüne dair hiçbir kanıt bulunmuyor.	yanlış
808	Bir Instagram sayfasında yapılan paylaşımda bir babanın alkollü bir sürücünün sebep olduğu trafik kazasında bebeğini kaybettikten sonra kazanın gerçekleştiği yerdeki kayayı bebek şeklinde olduğu iddia edildi.	Bir Instagram sayfasından bir heykel fotoğrafı paylaşılmış ve fotoğraftaki heykelin bebeğini alkollü bir sürücünün sebep olduğu trafik kazasında kaybeden bir baba tarafından kazanın gerçekleştiği yere yapıldığı iddia edilmiş. Fotoğraftaki heykel bebeğini kaybeden bir baba tarafından ve trafik kazasında hayatını kaybeden bir bebek için yapılmamış. Heykel kürtaj karşıtı Kolombiyalı bir sanatçı tarafından yeniden doğuşu sembolize etmek, başlangıcından bitişine hayatın değerini ve Hristiyan değerlerinin terk edilmemesi gerektiğini vurgulamak için yapılmış.	yanlış
407	Mustafa Varank'ın asgari ücretlilerin yerli otomobil TOGG'u 100 yıl vadeyle alabileceklerini söylediği iddiası	Sanayi ve Teknoloji Bakanı Mustafa Varank’a atfedilen cümle, ilk olarak Zorting isimli hesaptan paylaşılmış.Zorting parodi paylaşımlarıyla bilinen bir hesap.Bakan Varank'ın böyle bir açıklamasına hiçbir haber sitesinde veya kayıtta rastlanmıyor.	yanlış
537	25 Şubat'ta dünyaya asteroit çarpacağı iddiası	WF9 isimli asteroid dünyaya 51 milyon kilometre uzaklıktan geçecek ve tehdit oluşturmuyor.Nibiru, yıllardır konuşulan fakat varlığı kanıtlanamayan hayali bir gezegen.	yanlış
620	Osman Sarıgün'ü serbest bırakan savcı Ensar Vakfı'nın Ankara Şube Başkanı mıydı?	Çubuk Savcısı Ercan Poyraz’ın eskiden Ensar Vakfı Ankara Şubesi başkanı olduğu iddiası doğru.Geçmişte avukatlık yapan Ercan Poyraz, 24 Aralık 2016’da avukatlar arasından adli hakim ve savcı alınmak üzere açılan bir sınava katılmış ve kendisinin sınavda başarılı olduğunun Nisan 2017’de açıklanmasının ardından Haziran 2017 itibariyle göreve başlamış.20 Mart 2018’de ise Çubuk Cumhuriyet Savcısı olarak atanmış. Poyraz bu tarihten önce Ensar Vakfı Ankara Başkanı olarak çalışıyordu.	doğru
38	Vegan beslenen iş insanı dışkısını bağışlayarak öğrencilere burs sağladı	Ali Bıdı özel bir kliniğe bağışladığı dışkısının karşılığında ücret talep etmeyip kliniğin kendisine ayırdığı parayla öğrencilere burs imkanı sağlıyor.Bıdı, dışkısını bağırsak rahatsızlıkları bulunan hastaların tedavisi için bağışlıyor.	doğru
175	A Haber'in zamlardan sonra “Halk her gece ucuz mazot alıyor” alt bandı kullandığı iddiası	Alt bant, A Haber’in 18 Mart 2020’deki yayın ile 2 Mart 2022’deki yayınının ekran görüntüleri birleştirilerek oluşturulmuş.18 Mart 2020’deki yayında motorine gelen 27 kuruşluk indirimden bahsediliyor.2 Mart 2022’deki yayında ise Ukrayna Rusya çatışması konuşuluyor, motorinden bahsedilmiyor.	yanlış
245	Çorum rakımının sürekli yükseldiği iddiası	Çorum’un rakımı sürekli yükselmiyor.Hitit Üniversitesi Harita ve Kadastro Programı Bölüm Başkanı Veli İlçi’nin 28 Aralık 2017’de yaptığı açıklamaya göre, Çorum il bilgilendirme tabelalarındaki farklılık, geçmişte ve günümüzde ölçüm yöntemlerinin değişmesinden kaynaklanıyor.Üniversitenin ilgili birimi tarafından Uydu Bazlı Konum Belirleme Sistemleri’ne (GNSS) göre valilik binası esas alınarak yapılan ölçümde, son görselde belirtilen 820 metreye yakın bir rakım değeri bulunuyor.Yine Google Earth üzerinden Çorum Valiliği’nin rakımına bakıldığında bölgenin rakımı 820 metre görünüyor.	yanlış
828	Koronavirüsün 2018'de Venom filminde anlatıldığı iddiası	Filmde Çinli bir kadın yılan yedikten sonra insanlara saldırmıyor.Filme adını veren Venom bir virüs değil.Filmdeki kadının isminin Corinne isminin koronavirüsle bir ilgisi yok.	yanlış
667	Ronaldo’nun otellerini yeni koronavirüs nedeniyle hastaneye çevirdiği iddiası	Ronaldo’nun böyle bir açıklaması yok.Ronaldo'nun rtaklarından Pestana Group’un yetkilileri iddiayı yalanladı.Paylaşımı yapan ilk kaynaklar da haberi kaldırmış.	yanlış
754	Bir Instagram sayfası tarafından 5 Haziran 2021 tarihinde yapılan paylaşımda dünyanın en sinirli ülkelerine yönelik iddialar yer aldı. Paylaşımda Türkiye’nin bu sıralamada 6. sırada geldiği de ifade edilmiş. Gönderi 3 bine yakın beğeni almış.	Bir Instagram sayfası tarafından 5 Haziran 2021 tarihinde yapılan paylaşımda dünyanın en sinirli ülkelerine yönelik iddialar yer almıştı. Paylaşımda Türkiye’nin bu sıralamada 6. sırada geldiği de belirtiliyordu. Washington, D.C. merkezli bir Amerikan analitik ve danışmanlık şirketi olan Gallup, her sene “Global Emotions Report” adını verdiği bir rapor yayınlıyor. Bu raporun 2019’da yayınlanan versiyonu, 2018'de 140'tan fazla ülkede yetişkinlerle yapılan 151.000'den fazla görüşmeye dayalı olarak, insanların olumlu ve olumsuz günlük deneyimlerinin mevcut anlık durumunu aktarıyor. Çalışmaya katılanlar arasında “bir önceki gün çok sinirli hissettiğini” belirtenlerin oranının en yüksek olduğu 6. ülke %40 ile Türkiye. Bu kategoride Türkiye, Avrupa ülkeleri arasında da birinci sırada yer alıyor. Bu soruya evet cevabı verenlerin oranı ise 142 ülkeden bütün katılımcılar arasında %22.	doğru
858	Aşı araştırmalarında ve üretiminde fetal hücre dizileri kullanılıyor	Pfizer resmi kaynaklarında, aşı araştırmalarında ve üretiminde fetal hücre dizileri kullanıldığı fakat aşının herhangi bir fetal hücre içermediği belirtiliyor. ABD Aşı Eğitim Merkezi, tıbbi araştırmalarda kullanılan fetal hücre dizilerinin uzun yıllar önce aynı kaynaktan alınarak laboratuvarda sürekli olarak büyümeye adapte edilmiş hücrelerin kopyaları olduğunu söyledi.	yanlış
154	Bir Instagram hesabı tarafından 17 Şubat 2023 tarihinde yapılan paylaşımda Diyanet İşleri Başkanlığının depremzede evlatlık sorusuna “Evlat edinenle evlatlık arasında evlenme engeli yok” cevabını verdiği iddia edildi.	Bir Facebook hesabı tarafından Diyanet İşleri Başkanlığının depremzede evlatlık sorusuna “Evlat edinenle evlatlık arasında evlenme engeli yok” cevabını verdiği iddia edilmişti. Diyanet İşleri Başkanlığı Din İşleri Yüksek Kurulu’nun internet sitesinde “Depremzede çocuklar evlat edinilebilir mi?” sorusuna verilen cevapta “Evlat edinenle evlatlık arasındaki bu ilişki sebebiyle bir evlenme engeli doğmadığı gibi, evlatlığın kendi öz anne babasının yerine, evlat edinenlerin nesebine kaydedilmesi de caiz değildir.” ifadeleri yer alıyor. Olayın gündem olmasının ardından sayfanın Din İşleri Yüksek Kurulu tarafından silindiği görülüyor.	doğru
287	AK Parti'nin İstanbul'da seçimlerin iptali için başvuru yaptığı iddiası	AK Parti, Büyükçekmece’deki seçimlerin iptali için İl Seçim Kuruluna başvurdu ve başvuru kabul edilmedi.İddia yanıltıcı bir haber başlığından kaynaklanıyor.	yanlış
602	Devran Çağlar'ın hayatını kaybettiği iddiası	Devran Çağlar, öldüğüne dair basında çıkan haberlerin kendisini çok üzdüğünü, takipçilerinin ve sevenlerinin ağlayarak kendisini aradığını belirtti.Menajeri Engin Candan, sanatçının hayatını kaybettiğine dair söylentiyi ortaya atan Onur Akay hakkında yasal işlem başlatılacağını ifade etti.	yanlış
569	Bir Facebook sayfası tarafından 24 Ocak 2022 tarihinde yapılan paylaşımda yerli üretim olan Karsan firması otobüsünün Norveç’te kullanılacağı iddia edildi.	24 Ocak 2022 tarihinde bir Facebook sayfası tarafından Karsan adlı Türk firmasının otobüslerinin Norveç’te kullanılacağı iddia edilmişti. İddia incelendiğinde ise Karsan ve Sanayi Bakanı Mustafa Varank’ın anlaşmayı resmi olarak birincil kaynaklardan duyurduğu görülüyor. Önemli iş dünyası dergilerinden Forbes da iddiayı haberleştirmiş.	doğru
743	AK Parti heyetinden birinin vatandaşlara 'Şeyin trene baktığı gibi bakıyorlar' dediği iddiası	AK Parti Gaziantep Milletvekili Ahmet Uzer Twitter hesabından yaptığı bir açıklamada söz konusu ifadenin kendisine ait olduğunu doğruladı.	doğru
